,0,1,2
219,247,247,247
220,247,247,247
221,247,247,247
222,247,247,247
223,247,247,247
224,247,247,247
225,247,247,247
226,247,247,247
227,247,247,247
228,247,247,247
229,247,247,247
230,247,247,247
231,247,247,247
232,247,247,247
233,247,247,247
234,247,247,247
235,247,247,247
236,247,247,247
237,247,247,247
238,247,247,247
239,247,247,247
240,247,247,247
241,247,247,247
242,247,247,247
243,247,247,247
244,247,247,247
245,246,246,246
246,246,246,246
247,246,246,246
248,247,247,247
249,247,247,247
250,247,247,247
251,247,247,247
252,247,247,247
253,247,247,247
254,247,247,247
255,247,247,247
256,247,247,247
257,247,247,247
258,247,247,247
259,247,247,247
260,247,247,247
261,247,247,247
262,247,247,247
263,247,247,247
264,247,247,247
265,247,247,247
266,247,247,247
267,247,247,247
268,247,247,247
269,247,247,247
270,247,247,247
271,247,247,247
272,247,247,247
273,247,247,247
274,247,247,247
275,247,247,247
276,247,247,247
277,247,247,247
278,247,247,247
279,247,247,247
280,247,247,247
281,247,247,247
282,247,247,247
283,247,247,247
284,247,247,247
285,247,247,247
286,247,247,247
287,247,247,247
288,247,247,247
289,247,247,247
290,247,247,247
291,247,247,247
292,247,247,247
293,247,247,247
294,247,247,247
295,247,247,247
296,247,247,247
297,247,247,247
298,247,247,247
299,247,247,247
300,247,247,247
301,247,247,247
302,247,247,247
303,247,247,247
304,247,247,247
305,247,247,247
306,247,247,247
307,247,247,247
308,247,247,247
309,247,247,247
310,247,247,247
311,247,247,247
312,247,247,247
313,247,247,247
314,247,247,247
315,247,247,247
316,247,247,247
317,247,247,247
318,247,247,247
319,247,247,247
320,247,247,247
321,247,247,247
322,247,247,247
323,247,247,247
324,247,247,247
325,247,247,247
326,247,247,247
327,247,247,247
328,247,247,247
329,247,247,247
330,247,247,247
331,247,247,247
332,247,247,247
333,247,247,247
334,247,247,247
335,247,247,247
336,247,247,247
337,247,247,247
338,247,247,247
339,247,247,247
340,247,247,247
341,247,247,247
342,247,247,247
343,247,247,247
344,247,247,247
345,247,247,247
346,247,247,247
347,247,247,247
348,247,247,247
349,247,247,247
350,247,247,247
351,247,247,247
352,247,247,247
353,247,247,247
354,247,247,247
355,247,247,247
356,247,247,247
357,247,247,247
358,247,247,247
359,247,247,247
360,247,247,247
361,247,247,247
362,247,247,247
363,247,247,247
364,247,247,247
365,247,247,247
366,247,247,247
367,247,247,247
368,247,247,247
369,247,247,247
370,246,246,246
371,246,246,246
372,246,246,246
373,247,247,247
374,247,247,247
375,247,247,247
376,247,247,247
377,247,247,247
378,247,247,247
379,247,247,247
380,247,247,247
381,247,247,247
382,247,247,247
383,247,247,247
384,247,247,247
385,247,247,247
386,247,247,247
387,247,247,247
388,247,247,247
389,247,247,247
390,247,247,247
391,247,247,247
392,247,247,247
393,247,247,247
394,247,247,247
395,247,247,247
396,247,247,247
397,247,247,247
398,247,247,247
399,247,247,247
400,247,247,247
401,247,247,247
402,247,247,247
403,247,247,247
404,247,247,247
405,247,247,247
406,247,247,247
407,247,247,247
408,247,247,247
409,247,247,247
410,247,247,247
411,247,247,247
412,247,247,247
413,247,247,247
414,247,247,247
415,247,247,247
416,247,247,247
417,247,247,247
418,247,247,247
419,247,247,247
420,247,247,247
421,247,247,247
422,247,247,247
423,247,247,247
424,247,247,247
425,247,247,247
426,247,247,247
427,247,247,247
428,247,247,247
429,247,247,247
430,247,247,247
431,247,247,247
432,247,247,247
433,247,247,247
434,247,247,247
435,247,247,247
436,247,247,247
437,247,247,247
438,247,247,247
439,247,247,247
440,247,247,247
441,247,247,247
442,247,247,247
443,247,247,247
444,247,247,247
445,247,247,247
446,247,247,247
447,247,247,247
448,247,247,247
449,247,247,247
450,247,247,247
451,247,247,247
452,247,247,247
453,247,247,247
454,247,247,247
455,247,247,247
456,247,247,247
457,247,247,247
458,247,247,247
459,247,247,247
460,247,247,247
461,247,247,247
462,247,247,247
463,247,247,247
464,247,247,247
465,247,247,247
466,247,247,247
467,247,247,247
468,247,247,247
469,247,247,247
470,247,247,247
471,247,247,247
472,247,247,247
473,247,247,247
474,247,247,247
475,247,247,247
476,247,247,247
477,247,247,247
478,247,247,247
479,247,247,247
480,247,247,247
481,247,247,247
482,247,247,247
483,247,247,247
484,247,247,247
485,247,247,247
486,247,247,247
487,247,247,247
488,247,247,247
489,247,247,247
490,247,247,247
491,247,247,247
492,247,247,247
493,247,247,247
494,247,247,247
495,246,246,246
496,246,246,246
497,246,246,246
498,247,247,247
499,247,247,247
500,247,247,247
501,247,247,247
502,247,247,247
503,247,247,247
504,247,247,247
505,247,247,247
506,247,247,247
507,247,247,247
508,247,247,247
509,247,247,247
510,247,247,247
511,247,247,247
512,247,247,247
513,247,247,247
514,247,247,247
515,247,247,247
516,247,247,247
517,247,247,247
518,247,247,247
519,247,247,247
520,247,247,247
521,247,247,247
522,247,247,247
523,247,247,247
524,247,247,247
525,247,247,247
526,247,247,247
527,247,247,247
528,247,247,247
529,247,247,247
530,247,247,247
531,247,247,247
532,246,246,246
533,246,246,246
534,246,246,246
535,246,246,246
536,246,246,246
537,246,246,246
538,246,246,246
539,246,246,246
540,247,247,247
541,247,247,247
542,247,247,247
543,247,247,247
544,247,247,247
545,247,247,247
546,247,247,247
547,247,247,247
548,247,247,247
549,247,247,247
550,247,247,247
551,247,247,247
552,247,247,247
553,247,247,247
554,247,247,247
555,247,247,247
556,247,247,247
557,247,247,247
558,247,247,247
559,247,247,247
560,247,247,247
561,247,247,247
562,247,247,247
563,247,247,247
564,247,247,247
565,247,247,247
566,247,247,247
567,247,247,247
568,247,247,247
569,247,247,247
570,247,247,247
571,247,247,247
572,247,247,247
573,247,247,247
574,247,247,247
575,247,247,247
576,247,247,247
577,247,247,247
578,247,247,247
579,247,247,247
580,247,247,247
581,247,247,247
582,247,247,247
583,247,247,247
584,247,247,247
585,247,247,247
586,247,247,247
587,247,247,247
588,247,247,247
589,247,247,247
590,247,247,247
591,247,247,247
592,247,247,247
593,247,247,247
594,247,247,247
595,247,247,247
596,247,247,247
597,247,247,247
598,247,247,247
599,247,247,247
600,247,247,247
601,247,247,247
602,247,247,247
603,247,247,247
604,246,246,246
605,246,246,246
606,246,246,246
607,246,246,246
608,246,246,246
609,246,246,246
610,246,246,246
611,246,246,246
612,246,246,246
613,246,246,246
614,246,246,246
615,246,246,246
616,246,246,246
617,246,246,246
618,246,246,246
619,246,246,246
620,246,246,246
621,246,246,246
622,246,246,246
623,247,247,247
624,247,247,247
625,247,247,247
626,247,247,247
627,247,247,247
628,247,247,247
629,247,247,247
630,247,247,247
631,247,247,247
632,247,247,247
633,247,247,247
634,247,247,247
635,247,247,247
636,247,247,247
637,247,247,247
638,247,247,247
639,247,247,247
640,247,247,247
641,247,247,247
642,247,247,247
643,247,247,247
644,247,247,247
645,247,247,247
646,247,247,247
647,247,247,247
648,247,247,247
649,247,247,247
650,247,247,247
651,247,247,247
652,247,247,247
653,247,247,247
654,247,247,247
655,247,247,247
656,247,247,247
657,246,246,246
658,246,246,246
659,246,246,246
660,246,246,246
661,246,246,246
662,246,246,246
663,246,246,246
664,246,246,246
665,247,247,247
666,247,247,247
667,247,247,247
668,247,247,247
669,247,247,247
670,247,247,247
671,247,247,247
672,247,247,247
673,247,247,247
674,247,247,247
675,247,247,247
676,247,247,247
677,247,247,247
678,247,247,247
679,247,247,247
680,247,247,247
681,247,247,247
682,247,247,247
683,247,247,247
684,247,247,247
685,247,247,247
686,247,247,247
